Prop_Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,PropStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,YrSold,SaleCondition,SalePrice
PRO504,20,RL,100,15537,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,7,8,1959,1997,Gable,CompShg,BrkFace,Wd Sdng,TA,TA,CBlock,TA,TA,No,1501,GasA,TA,Y,SBrkr,1801,1,0,2,0,1,1,TA,6,Typ,2,TA,Attchd,1959,Fin,2,484,TA,TA,Y,0,54,0,0,161,0,,GdWo,,0,2010,Normal,288330
PRO102,60,RL,77,9534,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,Gd,TA,CBlock,Gd,TA,No,741,GasA,TA,Y,SBrkr,1732,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1985,Fin,2,476,TA,TA,Y,192,46,0,0,0,0,,,,0,2010,Normal,183164
PRO609,70,RL,,12781,Pave,,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1934,1998,Gable,CompShg,BrkFace,Wd Sdng,TA,TA,PConc,Gd,TA,Mn,987,GasA,TA,Y,SBrkr,3194,0,0,2,1,4,1,TA,10,Typ,2,Gd,Basment,1934,Unf,2,380,TA,TA,Y,0,0,0,0,0,0,,,,0,2007,Alloca,362145
PRO1090,120,FV,37,3728,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,8,5,2005,2005,Gable,CompShg,MetalSd,MetalSd,Gd,TA,PConc,Gd,TA,No,1247,GasA,Ex,Y,SBrkr,1247,1,0,1,1,1,1,Gd,4,Typ,1,Gd,Attchd,2005,Fin,2,550,TA,TA,Y,0,84,0,0,0,0,,,,0,2006,Normal,196079
PRO820,120,RL,44,6606,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Mn,1358,GasA,Ex,Y,SBrkr,1358,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2010,RFn,2,484,TA,TA,Y,192,35,0,0,0,0,,,,0,2010,Partial,228515
PRO685,60,RL,58,18002,Pave,,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,1195,GasA,Gd,Y,SBrkr,1839,0,0,2,1,4,1,TA,7,Typ,0,,Attchd,1998,Fin,2,486,TA,TA,Y,0,81,0,0,0,0,,,,0,2010,Normal,224119
PRO1281,20,RL,67,9769,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,1573,GasA,Ex,Y,SBrkr,1573,1,0,2,0,3,1,Gd,6,Typ,0,,Attchd,2002,RFn,2,544,TA,TA,Y,0,72,0,0,0,0,,,,0,2009,Normal,228107
PRO921,60,RL,70,8653,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1994,1994,Gable,CompShg,HdBoard,HdBoard,Gd,Gd,PConc,Gd,Gd,No,928,GasA,Ex,Y,SBrkr,1547,0,1,2,1,3,1,Gd,7,Typ,0,,Attchd,1994,RFn,2,471,TA,TA,Y,300,87,0,0,0,0,,,,0,2007,Normal,203953
PRO1454,20,RL,90,17720,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,No,1140,GasA,Ex,Y,SBrkr,1140,0,0,1,0,3,1,TA,6,Typ,0,,,,,0,0,,,Y,36,56,0,0,0,0,,,,0,2006,Abnorml,87468
PRO541,20,RL,85,15369,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,9,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,Ex,TA,PConc,Ex,TA,Av,1838,GasA,Ex,Y,SBrkr,1838,1,0,2,0,2,1,Ex,8,Typ,1,Gd,Attchd,2006,Fin,3,765,TA,TA,Y,270,68,0,0,0,0,,,,0,2009,Normal,313697
